SampleName,Longitude,Latitude
Barboni_a133,2.7,45.41
Barboni_a134,2.7,45.41
Barboni_a135,2.7,45.41
Barboni_a136,2.7,45.41
Barboni_a137,2.7,45.41
Barboni_a138,2.68,45.43
Barboni_a139,2.68,45.43
Barboni_a140,2.68,45.43
Barboni_a141,2.66,45.38
Barboni_a142,2.66,45.38
Barboni_a143,2.66,45.38
Barboni_a144,2.66,45.38
Barboni_a145,2.66,45.38
Barboni_a146,2.66,45.38
Barboni_a147,2.66,45.38
Barboni_a148,2.66,45.38
Barboni_a149,2.66,45.38
Barboni_a150,2.733333,45.5
Barboni_a151,2.733333,45.5
Barboni_a152,2.733333,45.5
Barboni_a153,2.733333,45.5
Barboni_a154,2.733333,45.5
Barboni_a155,2.73,45.5
Barboni_a156,2.73,45.5
Barboni_a157,2.73,45.5
Barboni_a158,2.73,45.5
Barboni_a159,2.73,45.5
Barboni_a160,2.73,45.5
Barboni_a161,2.83,45.5
Barboni_a162,2.83,45.5
Barboni_a163,2.83,45.5
Barboni_a164,2.83,45.5
Barboni_a165,2.83,45.5
Barboni_a166,2.61,45.45
Barboni_a167,2.61,45.43
Barboni_a168,2.58,45.4
Barboni_a169,2.6,45.38
Barboni_a170,2.58,45.36
Barboni_a171,2.68,45.38
Barboni_a172,2.66,45.38
Barboni_a173,2.66,45.4
Barboni_a174,2.66,45.38
Barboni_a175,2.66,45.38
Barboni_a176,2.7,45.4
Barboni_a177,2.7,45.4
Barboni_a178,2.7,45.41
Barboni_a179,2.7,45.41
Barboni_a180,2.7,45.41
Barboni_a181,2.66,45.51
Barboni_a182,2.65,45.53
Barboni_a183,2.73,45.45
Barboni_a184,2.76,45.46
Barboni_a185,2.789,45.47
Barboni_a186,2.733333,45.5
Barboni_a187,2.73,45.5
Barboni_a188,2.76,45.48
Barboni_a189,2.789,45.47
Barboni_a190,2.85,45.43
Barboni_a191,2.76,45.43
Barboni_a192,2.78,45.4
Barboni_a193,2.78,45.4
Barboni_a194,2.83,45.45
Barboni_a195,2.8667,45
Barboni_a196,2.83,45.5
Barboni_a197,2.83,45.5
Barboni_a349,-6.85625,37.155
Barboni_a350,29.597222,37.125
Barboni_a351,-6.830556,42.877778
Barboni_a352,-6.830556,42.877778
Barboni_a353,-7,42.7
Barboni_a354,8.8,52.1
Barboni_a355,5.4,49.9
Barboni_a356,5.4,49.9
Barboni_a357,5.4,49.9
Barboni_a358,5.4,49.9
Barboni_a359,5.9,50.3
Barboni_a360,5.9,50.3
Barboni_a361,5.9,50.4
Barboni_a362,13.8,55.4
Barboni_a363,14.5,56.1
Barboni_a364,15,58.8
Barboni_a365,14.2,57.5
Barboni_a366,17.7,60.3
Barboni_a367,19.2,68.3
Barboni_a368,19.2,68.3
Barboni_a369,20.8,69
Barboni_a370,20.8,69
Barboni_a371,21.8,68
Barboni_a372,22.3,68.5
Barboni_a373,22.2,68.5
Barboni_a374,-6.5,37.11666667
Barboni_a375,3,47
Barboni_a376,33.81666667,37.5
Barboni_a377,-4.016667,43.117886
Barboni_a378,0.55,40.76
Barboni_a379,-6.233333,41.966667
Barboni_a380,27.831944,43.187222
Barboni_a381,29.95,36.58333333
Barboni_a382,-4.868889,36.967222
Barboni_a383,-5.067222,36.818889
Barboni_a384,-5.35,36.517222
Barboni_a385,-5.368889,36.467222
Barboni_a386,-5.417222,36.318889
Barboni_a387,-3.617222,37.018889
Barboni_a388,-3.517222,36.917222
Barboni_a389,-3.35,36.95
Barboni_a390,-3.35,36.918889
Barboni_a391,-3.268889,36.95
Barboni_a392,-3.218889,36.95
Barboni_a393,-3.017222,37.018889
Barboni_a394,-3.017222,37.1
Barboni_a395,-3.018889,37.117222
Barboni_a396,-3.05,37.15
Barboni_a397,-2.917222,37.167222
Barboni_a398,-3.117222,37.168889
Barboni_a399,-6.15,37.618889
Barboni_a400,-6.368889,37.767222
Barboni_a401,-6.618889,37.917222
Barboni_a402,-6.718889,38.018889
Barboni_a403,-3.317222,42.368889
Barboni_a404,-3.867222,42.618889
Barboni_a405,-4.818889,43.317222
Barboni_a406,-4.917222,43.318889
Barboni_a407,-5.017222,43.35
Barboni_a408,-4.968889,43.267222
Barboni_a409,-5.05,43.3
Barboni_a410,-5.05,43.3
Barboni_a411,-4.918889,43.418889
Barboni_a412,-4.968889,43.417222
Barboni_a413,-5,43.4
Barboni_a414,-5.018889,43.368889
Barboni_a415,-3.65,39.1
Barboni_a416,-4.8,43.15
Barboni_a417,-4.817222,43.15
Barboni_a418,-4.817222,43.118889
Barboni_a419,-4.767222,43.117222
Barboni_a420,-4.718889,43.118889
Barboni_a421,-4.668889,43.167222
Barboni_a422,-4.767222,43.067222
Barboni_a423,-4.75,43.068889
Barboni_a424,-4.85,43.068889
Barboni_a425,-4.867222,43.117222
Barboni_a426,-4.7,43.1
Barboni_a427,-4.668889,43.1
Barboni_a428,-4.618889,43.117222
Barboni_a429,-4.568889,43.218889
Barboni_a430,-5.85,39.168889
Barboni_a431,-5.368889,39.367222
Barboni_a432,-5.318889,39.368889
Barboni_a433,-5.318889,39.468889
Barboni_a434,-5.318889,39.468889
Barboni_a435,-5.35,39.517222
Barboni_a436,-5.367222,39.518889
Barboni_a437,-5.417222,39.6
Barboni_a438,-6.468889,40.567222
Barboni_a439,-6.418889,40.55
Barboni_a440,-6.318889,40.517222
Barboni_a441,-6.2,40.517222
Barboni_a442,-6.167222,40.517222
Barboni_a443,-6.118889,40.517222
Barboni_a444,-6.117222,40.467222
Barboni_a445,-6.118889,40.5
Barboni_a446,-6.15,40.418889
Barboni_a447,-6.018888889,40.45
Barboni_a448,-6.367222,40.1
Barboni_a449,-6.4,40.118889
Barboni_a450,-6.5,40.118889
Barboni_a451,-6.5,40.268889
Barboni_a452,-6.45,40.318889
Barboni_a453,-6.45,40.35
Barboni_a454,-6.467222,40.367222
Barboni_a455,-6.45,40.368889
Barboni_a456,-6.468889,40.467222
Barboni_a457,-6.5,40.5
Barboni_a458,-6.2,40.368889
Barboni_a459,-6.5,40.4
Barboni_a460,-6.7,40.367222
Barboni_a461,-7,40.367222
Barboni_a462,-7.2,40.318889
Barboni_a463,-7,40.3
Barboni_a464,-6.8,40.3
Barboni_a465,-7.7,40.25
Barboni_a466,-7.8,40.2
Barboni_a467,-7.2,40.05
Barboni_a468,-2.768889,41.7
Barboni_a469,-2.668889,41.717222
Barboni_a470,-2.067222,41.818889
Barboni_a471,-2.117222,41.8
Barboni_a472,-1.968889,41.85
Barboni_a473,-1.85,41.818889
Barboni_a474,-1.818889,41.817222
Barboni_a475,-1.817222,41.8
Barboni_a476,-1.817222,41.768889
Barboni_a477,-1.818889,41.8
Barboni_a478,-1.817222,41.817222
Barboni_a479,-1.8,41.817222
Barboni_a480,-1.768889,41.85
Barboni_a481,-1.767222,41.867222
Barboni_a482,-4.318889,38.65
Barboni_a483,-4.367222,38.568889
Barboni_a484,-4.368889,38.518889
Barboni_a485,-4.368889,38.517222
Barboni_a486,-4.367222,38.468889
Barboni_a487,-4.317222,38.368889
